model,report,D_mm,T_mm,d_mm,t_mm,d_D,D_T,load_type,load_on,load_category,location,microstrain_1,microstrain_2,microstrain_3,stress_trans,stress_long,stress_shear,sigma1_psi,sigma2_psi,sigma1_MPa,sigma2_MPa,SI_MPa
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,T180R-B,28,102,111,4656,2236,-110,4661,2231,32.138,15.383,16.755
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I180P-C,7,87,93,3933,1389,-82,3935,1386,27.132,9.556,17.576
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I180R-D,0,70,78,3260,986,-111,3266,980,22.519,6.757,15.762
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I180II-E,2,0,67,1468,502,-891,1998,-29,13.776,-0.2,13.976
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I180W-F,4,52,53,2312,802,-15,2312,802,15.941,5.53,10.411
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,-W,-1,1,1,26,-16,0,26,-16,0.179,-0.11,0.289
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0180R-3,33,-41,-47,-1960,391,78,393,-1962,2.71,-13.528,16.238
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0180W-C,50,0,-51,-1173,1144,678,1327,-1356,9.15,-9.35,18.5
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0180R-P,37,-19,-29,-1100,788,126,796,-1108,5.488,-7.64,13.128
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-I,65,-247,-283,-11718,-1552,468,-1530,-11740,-10.549,-80.947,70.398
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-B,18,-191,-165,-7827,-1813,-344,-1793,-7847,-12.363,-54.105,41.742
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-C,27,-162,-130,-6451,-1135,-431,-1100,-6486,-7.585,-44.721,37.136
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-E,31,-133,-110,-5371,-678,-312,-657,-5392,-4.53,-37.178,32.648
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-F,31,-131,-100,-5107,-592,-402,-556,-5143,-3.834,-35.461,31.627
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-B,27,-125,-80,-4534,-553,-594,-466,-4621,-3.213,-31.862,28.649
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-J,21,-115,-67,-4126,-618,-691,-487,-4257,-3.358,-29.352,25.994
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-K,18,-108,-62,-3774,-607,-613,-492,-3889,-3.392,-26.815,23.423
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-L,13,-99,-47,-3220,-563,-703,-389,-3395,-2.682,-23.409,20.727
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-H,1,-67,-30,-2577,-743,-750,-475,-2844,-3.275,-19.609,16.334
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-P,-15,-56,9,-1019,-744,-861,-10,-1753,-0.069,-12.087,12.018
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-R,-14,0,29,644,-213,-381,789,-358,5.44,-2.468,7.908
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-T,0,89,100,4162,1248,-151,4169,1241,28.745,8.557,20.188
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-B,-11,-87,-115,-4434,-1672,371,-1623,-4483,-11.191,-30.91,19.719
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-C,-6,-82,-108,-4171,-1440,357,-1395,-4217,-9.619,-29.076,19.457
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-D,1,-77,-106,-4015,-1188,388,-1136,-4068,-7.833,-28.049,20.216
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-E,10,-74,-101,-3856,-870,370,-825,-3901,-5.688,-26.897,21.209
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-F,16,-72,-98,-3786,-652,337,-616,-3822,-4.247,-26.353,22.106
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-H,28,-69,-100,-3730,-288,409,-241,-3778,-1.662,-26.049,24.387
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-J,33,-64,-97,-3565,-75,445,-20,-3621,-0.138,-24.967,24.829
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-K,34,-54,-94,-3281,47,528,129,-3363,0.889,-23.188,24.077
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0270C-L,36,-33,-89,-2719,279,747,455,-2895,3.137,-19.961,23.098
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-P,29,15,-44,-659,663,792,1034,-1030,7.129,-7.102,14.231
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-R,9,36,-29,148,313,866,1100,-640,7.585,-4.413,11.998
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,-,3,1,5,-13575,-1009,230,-1005,-13580,-6.929,-93.634,86.705
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270W-B,-41,-212,-200,-9011,-3928,-155,-3923,-9015,-27.049,-62.158,35.109
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270R-C,-58,-146,-141,-6255,-3620,-66,-3618,-6256,-24.946,-43.135,18.189
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270W-D,-48,-96,-96,-4176,-2703,-2,-2703,-4176,-18.637,-28.794,10.157
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270M-E,-32,-62,-69,-2831,-1815,97,-1806,-2840,-12.452,-19.582,7.13
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,T270R-F,-20,-39,-45,-1833,-1155,82,-1145,-1843,-7.895,-12.707,4.812
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270M-H,0,1,-1,-3,-1,21,19,-22,0.131,-0.152,0.283
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270H-B,49,-13,-25,-882,1211,155,1223,-893,8.433,-6.157,14.59
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270W-C,27,31,34,1399,1218,-46,1410,1207,9.722,8.322,1.4
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270H-D,1,43,51,2054,660,-111,2063,652,14.224,4.496,9.728
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270R-E,-22,39,46,1890,-107,-98,1894,-111,13.059,-0.765,13.824
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270M-F,-30,33,42,1673,-395,-119,1680,-401,11.584,-2.765,14.349
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270W-G,-32,16,20,832,-717,-48,834,-718,5.75,-4.951,10.701
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270H-H,-30,11,13,580,-715,-25,580,-716,3.999,-4.937,8.936
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270S-K,-8,-3,-2,-108,-269,-21,-105,-271,-0.724,-1.869,1.145
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,TJ15C-D,-19,-132,55,-1672,-1074,-2496,1141,-3887,7.867,-26.801,34.668
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I315C-E,-32,-126,50,-1626,-1454,-2347,809,-3889,5.578,-26.815,32.393
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I315C-P,-39,-115,50,-1387,-1590,-2194,708,-3685,4.882,-25.408,30.29
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I315C-J,-59,-101,38,-1321,-2156,-1857,165,-3642,1.138,-25.112,26.25
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I315C-K,-73,-85,37,-968,-2475,-1625,70,-3513,0.483,-24.222,24.705
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I315C-L,-70,-76,28,-991,-2393,-1384,-141,-3243,-0.972,-22.36,21.388
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I315C-P,-64,-37,15,-422,-2051,-698,-164,-2309,-1.131,-15.921,14.79
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315C-B,-57,55,-185,-2795,-2538,3201,537,-5970,3.703,-41.163,44.866
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315C-C,-66,3,-168,-2678,-2793,2813,78,-5550,0.538,-38.267,38.805
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315C-0,-65,39,-166,-2716,-2780,2730,-17,-5478,-0.117,-37.771,37.654
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315C-H,-61,26,-139,-2409,-2549,2204,-273,-4684,-1.882,-32.296,30.414
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315C-J,-59,26,-118,-1960,-2361,1909,-241,-4080,-1.662,-28.132,26.47
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,C315C-K,-56,30,-105,-1589,-2144,1803,-43,-3690,-0.296,-25.443,25.147
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315C-H,-52,42,-68,-522,-1729,1469,462,-2713,3.185,-18.706,21.891
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315C-P,-45,42,-40,81,-1333,1093,675,-1927,4.654,-13.287,17.941
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I315R-R,-1,0,1,27,-14,-7,28,-15,0.193,-0.103,0.296
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315H-B,41,19,-101,-1843,683,1596,1456,-2616,10.039,-18.037,28.076
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315R-C,0,-7,-12,-410,-123,73,-105,-427,-0.724,-2.944,2.22
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315R-D,22,-12,18,100,696,-401,898,-101,6.192,-0.696,6.888
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315W-E,12,-17,25,161,416,-570,87,3,0.6,0.021,0.579
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315R-G,0,-18,20,47,25,-504,540,-468,3.723,-3.227,6.95
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315R-K,-1,-2,3,28,-22,-67,75,-69,0.517,-0.476,0.993
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0315R-H,0,0,1,19,6,-11,25,-1,0.172,-0.007,0.179
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,T-O-C-8,3,-49,40,-206,25,-1176,1091,-1272,7.522,-8.77,16.292
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,T-O-C-C,1,-53,44,-215,-29,-1293,1175,-1419,8.102,-9.784,17.886
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-O-C-B,0,-56,41,-320,-105,-1292,1085,-1509,7.481,-10.405,17.886
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-C-C-P,1,-51,35,-361,-74,-1154,946,-1380,6.523,-9.515,16.038
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-O-C-J,3,-99,26,-505,-74,-1007,740,-1319,5.102,-9.095,14.197
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-O-C-K,6,-47,21,-580,1,-901,657,-1236,4.53,-8.522,13.052
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-O-C-L,7,-46,22,-530,57,-899,709,-1182,4.889,-8.15,13.039
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-O-C-P,-1,-42,30,-280,-119,-959,763,-1162,5.261,-8.012,13.273
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-O-C-S,-5,-40,27,-284,-243,-898,635,-1162,4.378,-8.012,12.39
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-O-C-B,1,62,-63,-20,29,1676,1680,-1672,11.584,-11.528,23.112
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0-O-C-D,3,57,-42,329,186,1309,1563,-1053,10.777,-7.26,18.037
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-O-C-B,3,54,-39,334,130,1244,1503,-989,10.363,-6.819,17.182
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-O-C-H,2,51,-32,413,183,1096,1400,-803,9.653,-5.537,15.19
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-O-C-J,5,47,-30,367,273,1022,1343,-703,9.26,-4.847,14.107
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0-O-C-K,3,45,-28,355,192,964,1247,-690,8.598,-4.758,13.356
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0-O-C-L,2,42,-24,385,183,881,1170,-602,8.067,-4.151,12.218
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-O-C-H,-1,45,-23,437,115,907,1226,-625,8.453,-4.309,12.762
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0-O-C-P,1,42,-26,297,111,934,1143,-735,7.881,-5.068,12.949
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0-O-C-S,-4,41,-29,278,-31,927,1064,-817,7.336,-5.633,12.969
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-O-N-B,0,5,6,253,76,-19,255,74,1.758,0.51,1.248
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-O-S-D,2,11,12,507,203,-25,509,201,3.51,1.386,2.124
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,T-B,-5,21,-25,-83,-178,604,475,-736,3.275,-5.075,8.35
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0-0-*-C,-6,1,1,44,-171,2,44,-171,0.303,-1.179,1.482
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0-O-M-P,-6,-7,9,32,-169,-207,162,-2,1.117,-0.014,1.131
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-C-N-E,-5,-10,11,42,-151,-278,240,-349,1.655,-2.406,4.061
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,-4,-9,8,-18,-121,-239,174,-314,0,-2.165,0.0,2.165
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,-O-K-G,-2,-9,8,-36,-60,-228,181,-277,1.248,-1.91,3.158
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-O-W-H,-2,-9,8,-31,-68,-229,180,-279,1.241,-1.924,3.165
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-50C-B,-15,61,-36,552,-290,1294,1492,-1230,10.287,-8.481,18.768
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90C-C,-16,65,-41,550,-311,1405,1590,-1350,10.963,-9.308,20.271
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90C-D,-18,63,-35,652,-345,1304,1550,-1242,10.687,-8.564,19.251
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90C-E,-20,60,-30,678,-405,1210,1462,-1190,10.08,-8.205,18.285
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90C-F,-19,61,-30,708,-369,1212,1496,-1157,10.315,-7.978,18.293
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90C-R,-15,99,91,4188,808,111,4191,804,28.897,5.544,23.353
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90C-B,0,-14,53,852,256,-884,1487,-379,10.253,-2.613,12.866
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90C-C,16,-27,66,844,723,-1243,2028,-461,13.983,-3.179,17.162
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90C-0,12,-22,66,952,651,-1174,1985,-382,13.687,-2.634,16.321
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90C-E,10,-21,65,959,599,-1154,1947,-389,13.425,-2.682,16.107
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90C-F,6,-15,72,1230,556,-1157,2098,-312,14.466,-2.151,16.617
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90C-R,-50,89,96,4130,-255,-87,4131,-257,28.483,-1.772,30.255
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90W-B,-13,15,13,639,-187,27,640,-188,4.413,-1.296,5.709
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90N-C,-2,12,-8,93,-37,263,299,-243,2.062,-1.675,3.737
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,T-90H-O,2,11,-8,66,67,255,321,-188,2.213,-1.296,3.509
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90W-B*,37,-29,-42,-1578,6,50,174,663,1.2,4.571,3.371
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90H-F,4,3,-1,30,130,56,155,5,1.069,0.034,1.035
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I-90H-H,0,0,0,2,4,7,10,-4,0.069,-0.028,0.097
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90H-B,6,-12,33,4,37,312,-599,976,-4.13,6.73,10.86
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90H-C,5,1,2,41,159,-14,160,40,1.103,0.276,0.827
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-50*-D,6,5,-8,-62,154,177,253,-161,1.744,-1.11,2.854
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90W-B,4,9,-13,-38,101,289,311,-298,2.144,-2.055,4.199
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90W-P,4,9,-13,-98,90,297,308,-316,2.124,-2.179,4.303
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O-90N-W,0,0,0,-4,0,8,6,-10,0.041,-0.069,0.11
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I183C-B,5,-59,52,-159,117,-1169,1151,-1496,7.936,-10.315,18.251
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,H80C-C,3,-63,50,-280,1,-1505,1372,-1651,9.46,-11.384,20.844
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I180C-D,3,-58,46,-268,21,-1384,1268,-1515,8.743,-10.446,19.189
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I180C-E,1,-59,11,-107,-107,-1325,1077,-1591,7.426,-10.97,18.396
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I180C-F,1,-54,36,-392,-87,-1199,969,-1448,6.681,-9.984,16.665
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O180C-D,9,50,-12,251,343,1279,1577,-983,10.873,-6.778,17.651
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O160C-F,8,52,-37,331,326,1181,1512,-855,10.425,-5.895,16.32
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O180C-S,19,39,-30,156,616,919,1333,-561,9.191,-3.868,13.059
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I180W-C,-4,-19,-1,-112,-238,-234,-85,-595,-0.586,-4.103,3.517
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I180M-F,0,-3,5,12,-2,-115,138,-97,0.952,-0.669,1.621
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I1801-H,1,1,-1,-2,15,15,24,-11,0.165,-0.076,0.241
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O180N-C,-1,0,6,133,-90,-78,158,-115,1.089,-0.793,1.882
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O180K-D,-3,-12,6,-113,-110,-210,98,-382,0.676,-2.634,3.31
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O180W-F,-1,-13,9,-73,-18,-293,232,-353,1.6,-2.434,4.034
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O180W-W,0,0,1,11,0,-11,18,-7,0.124,-0.048,0.172
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-A,-9,21,-47,-567,-431,904,408,-1405,2.813,-9.687,12.5
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-C,-10,36,-77,-882,-577,1509,787,-2246,5.426,-15.486,20.912
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-D,-8,30,-73,-926,-508,1371,670,-2104,4.62,-14.507,19.127
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-E,-3,27,-71,-968,-395,1300,650,-2013,4.482,-13.88,18.362
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-J,8,-9,-74,-1820,-304,868,91,-2214,0.627,-15.266,15.893
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-K,9,-39,-79,-2615,-515,530,-389,-2741,-2.682,-18.899,16.217
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I27DC-H,25,-50,-103,-3380,-273,707,-119,-3533,-0.821,-24.36,23.539
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-P,44,-93,-106,-4420,5,181,12,-4,0.083,-0.028,0.111
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-S*,53,0,-97,-2197,929,1297,1397,-266,9.632,-1.834,11.466
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,I270C-T*,0,-39,34,-124,-37,-972,892,-1053,6.15,-7.26,13.41
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,0270C-E,22,-58,33,-560,502,-1208,1290,-1349,8.895,-9.301,18.196
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-H,22,-52,18,-986,364,-1073,957,-1579,6.599,-10.887,17.486
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-K,27,-74,-9,-1837,270,-868,582,-2148,4.013,-14.81,18.823
Model3,ORNL-5020,254,5.08,32.77,4.267,0.129,50,F_axial_cylinder,cylinder,force,O270C-L,29,-93,-41,-2971,-34,-699,123,-3129,0.848,-21.574,22.422
